0.00E+00	-4.19E-11
1.00E-02	-3.54E-11
2.00E-02	-2.52E-11
3.00E-02	-1.28E-11
4.00E-02	1.57E-12
5.00E-02	2.07E-11
6.00E-02	4.55E-11
7.00E-02	7.65E-11
8.00E-02	1.16E-10
9.00E-02	1.67E-10
1.00E-01	2.33E-10
1.10E-01	3.17E-10
1.20E-01	4.22E-10
1.30E-01	5.60E-10
1.40E-01	7.35E-10
1.50E-01	9.60E-10
1.60E-01	1.25E-09
1.70E-01	1.61E-09
1.80E-01	2.09E-09
1.90E-01	2.69E-09
2.00E-01	3.46E-09
2.10E-01	4.45E-09
2.20E-01	5.72E-09
2.30E-01	7.35E-09
2.40E-01	9.45E-09
2.50E-01	1.21E-08
2.60E-01	1.56E-08
2.70E-01	2.02E-08
2.80E-01	2.61E-08
2.90E-01	3.37E-08
3.00E-01	4.37E-08
3.10E-01	5.68E-08
3.20E-01	7.41E-08
3.30E-01	9.70E-08
3.40E-01	1.27E-07
3.50E-01	1.68E-07
3.60E-01	2.22E-07
3.70E-01	2.95E-07
3.80E-01	3.94E-07
3.90E-01	5.29E-07
4.00E-01	7.14E-07
4.10E-01	9.67E-07
4.20E-01	1.32E-06
4.30E-01	1.80E-06
4.40E-01	2.48E-06
4.50E-01	3.42E-06
4.60E-01	4.72E-06
4.70E-01	6.54E-06
4.80E-01	9.04E-06
4.90E-01	1.25E-05
5.00E-01	1.71E-05
5.10E-01	2.34E-05
5.20E-01	3.16E-05
5.30E-01	4.21E-05
5.40E-01	5.52E-05
5.50E-01	7.11E-05
5.60E-01	9.00E-05
5.70E-01	0.000111733
5.80E-01	0.00013624
5.90E-01	0.000163351
6.00E-01	0.000192796
6.10E-01	0.000224348
6.20E-01	0.000257792
6.30E-01	0.000292805
6.40E-01	0.000329413
6.50E-01	0.000367342
6.60E-01	0.000406446
6.70E-01	0.000446564
6.80E-01	0.000487608
6.90E-01	0.00052947
7.00E-01	0.000572119
7.10E-01	0.000615386
7.20E-01	0.000659267
7.30E-01	0.000703716
7.40E-01	0.000748664
7.50E-01	0.000794017
7.60E-01	0.000839836
7.70E-01	0.000885851
7.80E-01	0.000932361
7.90E-01	0.000979206
8.00E-01	0.001026351
8.10E-01	0.001074068
8.20E-01	0.001121719
8.30E-01	0.001169654
8.40E-01	0.001217783
8.50E-01	0.001266152
8.60E-01	0.00131469
8.70E-01	0.001363475
8.80E-01	0.001412356
8.90E-01	0.001461454
9.00E-01	0.001510656
9.10E-01	0.001559871
9.20E-01	0.001609406
9.30E-01	0.001659043
9.40E-01	0.001708803
9.50E-01	0.001758661
9.60E-01	0.001808684
9.70E-01	0.001858782
9.80E-01	0.001908989
9.90E-01	0.001959265
1.00E+00	0.002009719
