bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665058 counts_off = 4 period_off = 0.100822 rate_off = 39.6737 ratee_off = 19.8369 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665058 counts_on = 10 period_on = 0.100468 rate_on = 99.5344 ratee_on = 31.4756 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665059 counts_off = 1 period_off = 0.100296 rate_off = 9.97053 ratee_off = 9.97053 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665059 counts_on = 2 period_on = 0.101043 rate_on = 19.7935 ratee_on = 13.9961 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665059 counts_off = 1 period_off = 0.100297 rate_off = 9.97041 ratee_off = 9.97041 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665060 counts_on = 0 period_on = 0.100333 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665060 counts_off = 2 period_off = 0.100292 rate_off = 19.9418 ratee_off = 14.101 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665061 counts_on = 2 period_on = 0.100828 rate_on = 19.8357 ratee_on = 14.026 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665061 counts_off = 1 period_off = 0.100465 rate_off = 9.95374 ratee_off = 9.95374 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665062 counts_on = 0 period_on = 0.100404 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665062 counts_off = 1 period_off = 0.100918 rate_off = 9.90905 ratee_off = 9.90905 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665063 counts_on = 0 period_on = 0.101234 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665063 counts_off = 1 period_off = 0.100797 rate_off = 9.92092 ratee_off = 9.92092 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665064 counts_on = 3 period_on = 0.101236 rate_on = 29.6338 ratee_on = 17.1091 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665064 counts_off = 0 period_off = 0.100688 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665065 counts_on = 0 period_on = 0.100297 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665065 counts_off = 1 period_off = 0.100253 rate_off = 9.97472 ratee_off = 9.97472 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665065 counts_on = 0 period_on = 0.101045 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665066 counts_off = 0 period_off = 0.100228 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665066 counts_on = 1 period_on = 0.100112 rate_on = 9.98879 ratee_on = 9.98879 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665068 counts_off = 1 period_off = 0.100742 rate_off = 9.9263 ratee_off = 9.9263 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665068 counts_on = 7 period_on = 0.100845 rate_on = 69.4132 ratee_on = 26.2357 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665069 counts_off = 1 period_off = 0.100941 rate_off = 9.90674 ratee_off = 9.90674 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665069 counts_on = 2 period_on = 0.101153 rate_on = 19.772 ratee_on = 13.9809 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665070 counts_off = 4 period_off = 0.100144 rate_off = 39.9426 ratee_off = 19.9713 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665070 counts_on = 3 period_on = 0.100636 rate_on = 29.8103 ratee_on = 17.211 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665071 counts_off = 1 period_off = 0.100706 rate_off = 9.92987 ratee_off = 9.92987 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665071 counts_on = 3 period_on = 0.10021 rate_on = 29.9373 ratee_on = 17.2843 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665071 counts_off = 2 period_off = 0.100139 rate_off = 19.9721 ratee_off = 14.1224 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665072 counts_on = 5 period_on = 0.101247 rate_on = 49.3841 ratee_on = 22.0852 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665072 counts_off = 1 period_off = 0.100202 rate_off = 9.97987 ratee_off = 9.97987 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665073 counts_on = 4 period_on = 0.100075 rate_on = 39.9701 ratee_on = 19.9851 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665073 counts_off = 1 period_off = 0.101209 rate_off = 9.88058 ratee_off = 9.88058 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665074 counts_on = 1 period_on = 0.100226 rate_on = 9.97743 ratee_on = 9.97743 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665074 counts_off = 2 period_off = 0.1001 rate_off = 19.98 ratee_off = 14.128 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665075 counts_on = 2 period_on = 0.100409 rate_on = 19.9185 ratee_on = 14.0845 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665075 counts_off = 3 period_off = 0.100927 rate_off = 29.7246 ratee_off = 17.1615 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665076 counts_on = 1 period_on = 0.100886 rate_on = 9.91213 ratee_on = 9.91213 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665076 counts_off = 2 period_off = 0.100281 rate_off = 19.944 ratee_off = 14.1026 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665077 counts_on = 3 period_on = 0.101024 rate_on = 29.6961 ratee_on = 17.145 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665077 counts_off = 0 period_off = 0.100765 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665077 counts_on = 3 period_on = 0.100225 rate_on = 29.9328 ratee_on = 17.2817 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665078 counts_off = 0 period_off = 0.100518 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665078 counts_on = 0 period_on = 0.100496 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665079 counts_off = 5 period_off = 0.100264 rate_off = 49.8683 ratee_off = 22.3018 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665079 counts_on = 2 period_on = 0.100372 rate_on = 19.9258 ratee_on = 14.0897 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665080 counts_off = 1 period_off = 0.100344 rate_off = 9.96577 ratee_off = 9.96577 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665080 counts_on = 1 period_on = 0.100102 rate_on = 9.98982 ratee_on = 9.98982 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665081 counts_off = 11 period_off = 0.10027 rate_off = 109.704 ratee_off = 33.077 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665081 counts_on = 5 period_on = 0.100391 rate_on = 49.8051 ratee_on = 22.2735 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665082 counts_off = 1 period_off = 0.100509 rate_off = 9.94931 ratee_off = 9.94931 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665082 counts_on = 4 period_on = 0.10004 rate_on = 39.9838 ratee_on = 19.9919 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665083 counts_off = 0 period_off = 0.100717 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665083 counts_on = 5 period_on = 0.100236 rate_on = 49.8823 ratee_on = 22.308 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665083 counts_off = 1 period_off = 0.100203 rate_off = 9.9797 ratee_off = 9.9797 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665084 counts_on = 4 period_on = 0.100743 rate_on = 39.7051 ratee_on = 19.8525 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665084 counts_off = 1 period_off = 0.100027 rate_off = 9.99729 ratee_off = 9.99729 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665085 counts_on = 4 period_on = 0.100674 rate_on = 39.7323 ratee_on = 19.8661 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665085 counts_off = 1 period_off = 0.100364 rate_off = 9.96372 ratee_off = 9.96372 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665086 counts_on = 5 period_on = 0.100479 rate_on = 49.7614 ratee_on = 22.254 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665086 counts_off = 12 period_off = 0.100212 rate_off = 119.746 ratee_off = 34.5676 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665087 counts_on = 4 period_on = 0.100292 rate_on = 39.8835 ratee_on = 19.9418 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665087 counts_off = 1 period_off = 0.100493 rate_off = 9.95098 ratee_off = 9.95098 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665088 counts_on = 3 period_on = 0.100579 rate_on = 29.8273 ratee_on = 17.2208 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665088 counts_off = 1 period_off = 0.100065 rate_off = 9.99355 ratee_off = 9.99355 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665089 counts_on = 5 period_on = 0.100541 rate_on = 49.7311 ratee_on = 22.2404 temperature_on = -30.1
bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665089 counts_off = 5 period_off = 0.10055 rate_off = 49.7266 ratee_off = 22.2384 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665089 counts_on = 3 period_on = 0.100887 rate_on = 29.7363 ratee_on = 17.1683 temperature_on = -30.1
